"Format","AIM CSV File"
"Venue","Izumiootsu"
"Vehicle","_OF-25"
"User","iida"
"Data Source","AIM Data Logger"
"Comment","飯田コース３周"
"Date","08/02/25"
"Time","15:30:21"
"Sample Rate","50"
"Duration","75.155"
"Segment","Lap 2 - 1:15.155"

"Time","Distance","STL_RR","STL_RL","STL_FR","STL_FL",
"Time","Distance","STL_RR","STL_RL","STL_FR","STL_FL",
"sec","km","V","V","V","V",
"","","1","2","3","4",

1.820,0.015,1.765869,2.068359,2.676758,2.433349
1.840,0.015,1.767578,2.065429,2.691650,2.426758
1.860,0.015,1.780273,2.023437,2.790283,2.372070
1.880,0.015,1.783447,2.012939,2.814941,2.358398
1.900,0.015,1.757080,1.928955,2.866699,2.291015
1.920,0.016,1.750488,1.907959,2.879638,2.274170
1.940,0.016,1.724121,1.858154,2.865967,2.241943
1.960,0.016,1.717529,1.845703,2.862549,2.233886
1.980,0.016,1.728271,1.878906,2.857666,2.230957
2.000,0.016,1.730957,1.887207,2.856445,2.230224
2.020,0.017,1.736816,1.941894,2.849609,2.239013
2.040,0.017,1.738281,1.955566,2.847900,2.241211
2.060,0.017,1.711914,1.979004,2.824463,2.259765
2.080,0.017,1.705322,1.984863,2.818603,2.264404
2.100,0.017,1.680908,1.984863,2.816650,2.271240
2.120,0.018,1.674805,1.984863,2.816162,2.272949
2.140,0.018,1.690430,1.958496,2.832763,2.255371
2.160,0.018,1.694336,1.951904,2.836914,2.250976
2.180,0.018,1.722656,1.912842,2.843750,2.233398
2.200,0.018,1.729736,1.903076,2.845459,2.229004
2.220,0.019,1.737549,1.869873,2.840576,2.222168
2.240,0.019,1.739502,1.861572,2.839355,2.220459
2.260,0.019,1.735596,1.837158,2.828613,2.225342
2.280,0.019,1.734619,1.831055,2.825927,2.226562
2.300,0.019,1.773682,1.868164,2.822021,2.250976
2.320,0.020,1.783447,1.877441,2.821045,2.257080
2.340,0.020,1.821533,1.930176,2.829834,2.269775
2.360,0.020,1.831055,1.943359,2.832031,2.272949
2.380,0.020,1.776367,1.926758,2.818359,2.277832
2.400,0.021,1.762695,1.922607,2.814941,2.279052
2.420,0.021,1.702148,1.885498,2.778808,2.308349
2.440,0.021,1.687012,1.876220,2.769775,2.315674
2.460,0.021,1.700683,1.862549,2.774658,2.316650
2.480,0.022,1.704101,1.859131,2.775879,2.316894
2.500,0.022,1.777344,1.868896,2.805176,2.270996
2.520,0.022,1.795654,1.871338,2.812500,2.259521
2.540,0.022,1.867920,1.877197,2.794922,2.262451
2.560,0.023,1.885986,1.878662,2.790527,2.263183
2.580,0.023,1.823486,1.827881,2.761230,2.302246
2.600,0.023,1.807861,1.815185,2.753906,2.312011
2.620,0.023,1.714111,1.783935,2.785156,2.297363
2.640,0.024,1.690674,1.776123,2.792969,2.293701
2.660,0.024,1.746338,1.870849,2.836914,2.269287
2.680,0.024,1.760254,1.894531,2.847900,2.263183
2.700,0.024,1.825683,1.986328,2.823486,2.275879
2.720,0.025,1.842041,2.009277,2.817383,2.279052
2.740,0.025,1.804932,1.993652,2.751953,2.318115
2.760,0.025,1.795654,1.989746,2.735595,2.327881
2.780,0.025,1.733154,1.926269,2.696533,2.369873
2.800,0.026,1.717529,1.910400,2.686767,2.380371
2.820,0.026,1.716553,1.872314,2.737549,2.371582
2.840,0.026,1.716308,1.862793,2.750244,2.369385
2.860,0.026,1.746582,1.854980,2.830322,2.327392
2.880,0.027,1.754150,1.853027,2.850342,2.316894
2.900,0.027,1.744385,1.838379,2.788818,2.361816
2.920,0.027,1.741943,1.834717,2.773437,2.373047
2.940,0.027,1.766357,1.823974,2.705078,2.447265
2.960,0.028,1.772461,1.821289,2.687988,2.465820
2.980,0.028,1.814453,1.822266,2.767090,2.415039
3.000,0.028,1.824951,1.822510,2.786865,2.402344
3.020,0.029,1.785889,1.801025,2.851318,2.345703
3.040,0.029,1.776123,1.795654,2.867431,2.331543
3.060,0.029,1.703857,1.739014,2.843994,2.377441
3.080,0.029,1.685791,1.724853,2.838135,2.388916
3.100,0.030,1.738525,1.762939,2.811767,2.430908
3.120,0.030,1.751709,1.772461,2.805176,2.441406
3.140,0.030,1.843506,1.850586,2.834472,2.419922
3.160,0.031,1.866455,1.870117,2.841797,2.414551
3.180,0.031,1.842041,1.868164,2.861328,2.377441
3.200,0.031,1.835937,1.867676,2.866211,2.368164
3.220,0.031,1.790039,1.840332,2.845703,2.383789
3.240,0.032,1.778564,1.833496,2.840576,2.387695
3.260,0.032,1.783447,1.831543,2.819092,2.413086
3.280,0.032,1.784668,1.831055,2.813720,2.419433
3.300,0.032,1.830566,1.868164,2.766845,2.436035
3.320,0.033,1.842041,1.877441,2.755127,2.440185
3.340,0.033,1.863525,1.884277,2.711181,2.455810
3.360,0.033,1.868896,1.885986,2.700195,2.459717
3.380,0.034,1.881592,1.899658,2.642578,2.504638
3.400,0.034,1.884765,1.903076,2.628174,2.515869
3.420,0.034,1.903320,1.928467,2.567627,2.574463
3.440,0.034,1.907959,1.934814,2.552490,2.589111
3.460,0.035,1.915771,1.952392,2.529052,2.599853
3.480,0.035,1.917724,1.956787,2.523193,2.602539
3.500,0.035,1.918701,1.972412,2.521240,2.588867
3.520,0.035,1.918945,1.976318,2.520752,2.585449
3.540,0.036,1.885742,1.975342,2.511963,2.568847
3.560,0.036,1.877441,1.975097,2.509765,2.564697
3.580,0.036,1.876465,2.006347,2.500000,2.568603
3.600,0.036,1.876220,2.014160,2.497558,2.569580
3.620,0.037,1.873291,2.021972,2.599121,2.494385
3.640,0.037,1.872558,2.023926,2.624511,2.475586
3.660,0.037,1.841308,2.015136,2.658691,2.422851
3.680,0.037,1.833496,2.012939,2.667236,2.409668
3.700,0.038,1.817871,2.026611,2.588135,2.469238
3.720,0.038,1.813965,2.030029,2.568359,2.484131
3.740,0.038,1.803223,2.030029,2.558594,2.508545
3.760,0.038,1.800537,2.030029,2.556152,2.514648
3.780,0.039,1.810303,2.045654,2.573730,2.490234
3.800,0.039,1.812744,2.049560,2.578125,2.484131
3.820,0.039,1.805908,2.057373,2.595703,2.464599
3.840,0.039,1.804199,2.059326,2.600097,2.459717
3.860,0.040,1.762207,2.046631,2.597168,2.454834
3.880,0.040,1.751709,2.043457,2.596435,2.453613
3.900,0.040,1.762451,2.062011,2.583740,2.458496
3.920,0.040,1.765137,2.066650,2.580566,2.459717
3.940,0.041,1.776855,2.080322,2.607910,2.442138
3.960,0.041,1.779785,2.083740,2.614746,2.437744
3.980,0.041,1.755371,2.060302,2.607910,2.416260
4.000,0.041,1.749267,2.054443,2.606201,2.410888
4.020,0.042,1.767822,2.052490,2.589599,2.422607
4.040,0.042,1.772461,2.052002,2.585449,2.425537
4.060,0.042,1.793945,2.060791,2.639160,2.395263
4.080,0.042,1.799316,2.062988,2.652588,2.387695
4.100,0.042,1.760254,2.054199,2.702392,2.340820
4.120,0.043,1.750488,2.052002,2.714844,2.329101
4.140,0.043,1.704590,2.053955,2.732422,2.348633
4.160,0.043,1.693115,2.054443,2.736816,2.353515
4.180,0.043,1.680420,2.028076,2.759277,2.365234
4.200,0.044,1.677246,2.021484,2.764892,2.368164
4.220,0.044,1.689941,1.969726,2.776611,2.346679
4.240,0.044,1.693115,1.956787,2.779541,2.341308
4.260,0.044,1.758545,1.947998,2.769775,2.335449
4.280,0.045,1.774902,1.945801,2.767334,2.333984
4.300,0.045,1.817871,1.949707,2.740967,2.333984
4.320,0.045,1.828613,1.950683,2.734375,2.333984
4.340,0.045,1.774902,1.932129,2.711914,2.343750
4.360,0.045,1.761474,1.927490,2.706299,2.346191
4.380,0.046,1.699951,1.917724,2.715088,2.347168
